"키","파일","구울크기","그릴크기","갈래","이름","프롬프트"
"item_steel_gauntlet","assets/ui/items/steel_gauntlet.png","128x128","64x64","물건 아이콘","강철 건틀릿","A steel gauntlet (armor, worn on the gloves) — fine craftsmanship, blue-steel sheen and a small inlaid stone. Single game inventory icon, one object only, floating centred with a small even margin on all four sides, seen from a slight 3/4 angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No hand holding it, no pedestal, no text, no rarity frame, no glow border. It must still be recognisable shrunk to 1/4 size, so keep the silhouette simple and the local colour strong. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"item_leather_boots","assets/ui/items/leather_boots.png","128x128","64x64","물건 아이콘","가죽 부츠","A leather boots (armor, worn on the boots) — plain everyday craftsmanship, muted colours, no gems. Single game inventory icon, one object only, floating centred with a small even margin on all four sides, seen from a slight 3/4 angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No hand holding it, no pedestal, no text, no rarity frame, no glow border. It must still be recognisable shrunk to 1/4 size, so keep the silhouette simple and the local colour strong. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"item_swift_boots","assets/ui/items/swift_boots.png","128x128","64x64","물건 아이콘","질주의 부츠","A swift boots (armor, worn on the boots) — fine craftsmanship, blue-steel sheen and a small inlaid stone. Single game inventory icon, one object only, floating centred with a small even margin on all four sides, seen from a slight 3/4 angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No hand holding it, no pedestal, no text, no rarity frame, no glow border. It must still be recognisable shrunk to 1/4 size, so keep the silhouette simple and the local colour strong. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"item_leather_belt","assets/ui/items/leather_belt.png","128x128","64x64","물건 아이콘","가죽 허리띠","A leather belt (accessory, worn on the belt) — plain everyday craftsmanship, muted colours, no gems. Single game inventory icon, one object only, floating centred with a small even margin on all four sides, seen from a slight 3/4 angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No hand holding it, no pedestal, no text, no rarity frame, no glow border. It must still be recognisable shrunk to 1/4 size, so keep the silhouette simple and the local colour strong. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"item_mana_belt","assets/ui/items/mana_belt.png","128x128","64x64","물건 아이콘","마력의 허리띠","A mana belt (accessory, worn on the belt) — fine craftsmanship, blue-steel sheen and a small inlaid stone. Single game inventory icon, one object only, floating centred with a small even margin on all four sides, seen from a slight 3/4 angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No hand holding it, no pedestal, no text, no rarity frame, no glow border. It must still be recognisable shrunk to 1/4 size, so keep the silhouette simple and the local colour strong. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"item_wood_amulet","assets/ui/items/wood_amulet.png","128x128","64x64","물건 아이콘","나무 부적","A wood amulet (accessory, worn on the necklace) — plain everyday craftsmanship, muted colours, no gems. Single game inventory icon, one object only, floating centred with a small even margin on all four sides, seen from a slight 3/4 angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No hand holding it, no pedestal, no text, no rarity frame, no glow border. It must still be recognisable shrunk to 1/4 size, so keep the silhouette simple and the local colour strong. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"item_guard_amulet","assets/ui/items/guard_amulet.png","128x128","64x64","물건 아이콘","수호의 목걸이","A guard amulet (accessory, worn on the necklace) — fine craftsmanship, blue-steel sheen and a small inlaid stone. Single game inventory icon, one object only, floating centred with a small even margin on all four sides, seen from a slight 3/4 angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No hand holding it, no pedestal, no text, no rarity frame, no glow border. It must still be recognisable shrunk to 1/4 size, so keep the silhouette simple and the local colour strong. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"item_short_bow","assets/ui/items/short_bow.png","128x128","64x64","물건 아이콘","낡은 사냥활","A short bow (weapon) — plain everyday craftsmanship, muted colours, no gems. Single game inventory icon, one object only, floating centred with a small even margin on all four sides, seen from a slight 3/4 angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No hand holding it, no pedestal, no text, no rarity frame, no glow border. It must still be recognisable shrunk to 1/4 size, so keep the silhouette simple and the local colour strong. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"item_hunting_bow","assets/ui/items/hunting_bow.png","128x128","64x64","물건 아이콘","사냥용 활","A hunting bow (weapon) — decent craftsmanship, one small accent colour. Single game inventory icon, one object only, floating centred with a small even margin on all four sides, seen from a slight 3/4 angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No hand holding it, no pedestal, no text, no rarity frame, no glow border. It must still be recognisable shrunk to 1/4 size, so keep the silhouette simple and the local colour strong. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"item_elven_bow","assets/ui/items/elven_bow.png","128x128","64x64","물건 아이콘","바람의 장궁","An elven bow (weapon) — fine craftsmanship, blue-steel sheen and a small inlaid stone. Single game inventory icon, one object only, floating centred with a small even margin on all four sides, seen from a slight 3/4 angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No hand holding it, no pedestal, no text, no rarity frame, no glow border. It must still be recognisable shrunk to 1/4 size, so keep the silhouette simple and the local colour strong. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"item_gnarled_staff","assets/ui/items/gnarled_staff.png","128x128","64x64","물건 아이콘","옹이 지팡이","A gnarled staff (weapon) — plain everyday craftsmanship, muted colours, no gems. Single game inventory icon, one object only, floating centred with a small even margin on all four sides, seen from a slight 3/4 angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No hand holding it, no pedestal, no text, no rarity frame, no glow border. It must still be recognisable shrunk to 1/4 size, so keep the silhouette simple and the local colour strong. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"item_apprentice_staff","assets/ui/items/apprentice_staff.png","128x128","64x64","물건 아이콘","견습 지팡이","An apprentice staff (weapon) — decent craftsmanship, one small accent colour. Single game inventory icon, one object only, floating centred with a small even margin on all four sides, seen from a slight 3/4 angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No hand holding it, no pedestal, no text, no rarity frame, no glow border. It must still be recognisable shrunk to 1/4 size, so keep the silhouette simple and the local colour strong. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"item_archmage_staff","assets/ui/items/archmage_staff.png","128x128","64x64","물건 아이콘","대마법사의 지팡이","An archmage staff (weapon) — fine craftsmanship, blue-steel sheen and a small inlaid stone. Single game inventory icon, one object only, floating centred with a small even margin on all four sides, seen from a slight 3/4 angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No hand holding it, no pedestal, no text, no rarity frame, no glow border. It must still be recognisable shrunk to 1/4 size, so keep the silhouette simple and the local colour strong. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"chr_ranger_field","assets/sprites/characters/ranger_field.png","192x256","48x64","들판 그림","사냥꾼","A hooded bow ranger — the player character of this game, an adventurer. 3/4 top-down view as seen in a JRPG overworld, the character standing and facing the camera-left, feet touching the very bottom edge of the canvas, head near the top with a small margin. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Whole body in frame, symmetrical readable silhouette, no motion blur. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"chr_ranger_battle","assets/sprites/characters/ranger_battle.png","768x1024","192x256","전투 그림","사냥꾼","A hooded bow ranger — the player character of this game, an adventurer. Side view battle portrait, full body, standing in an idle ready stance and FACING LEFT (the enemy is off-frame to the left). Feet touch the very bottom edge of the canvas, head near the top. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Dramatic but still, no motion lines. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"chr_mage_field","assets/sprites/characters/mage_field.png","192x256","48x64","들판 그림","마법사","A staff-wielding mage — the player character of this game, an adventurer. 3/4 top-down view as seen in a JRPG overworld, the character standing and facing the camera-left, feet touching the very bottom edge of the canvas, head near the top with a small margin. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Whole body in frame, symmetrical readable silhouette, no motion blur. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"chr_mage_battle","assets/sprites/characters/mage_battle.png","768x1024","192x256","전투 그림","마법사","A staff-wielding mage — the player character of this game, an adventurer. Side view battle portrait, full body, standing in an idle ready stance and FACING LEFT (the enemy is off-frame to the left). Feet touch the very bottom edge of the canvas, head near the top. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Dramatic but still, no motion lines. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_dungeon_floor","assets/tiles/dungeon_floor.png","64x64","32x32","바닥 타일(이어 붙음)","감옥 바닥","damp dark prison flagstones. Seamless repeating floor tile, straight top-down view (camera exactly overhead). The image fills the entire canvas edge to edge with no border, no frame, no margin. ⚠ CRITICAL: the tile is laid in a 40x32 grid, so it must tile seamlessly — left edge must continue into the right edge and top into bottom. ABSOLUTELY NO directional light (no brighter-top/darker-bottom), NO vignette, NO border or outline on any edge, NO single big feature in the centre. Keep the base colour perfectly flat and put all variation into small scattered speckles and marks that do not touch the edges. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_dungeon_wall","assets/tiles/dungeon_wall.png","64x64","32x32","바닥 타일(이어 붙음)","감옥 벽","cold dungeon block masonry, faintly damp. Seamless repeating floor tile, straight top-down view (camera exactly overhead). The image fills the entire canvas edge to edge with no border, no frame, no margin. ⚠ CRITICAL: the tile is laid in a 40x32 grid, so it must tile seamlessly — left edge must continue into the right edge and top into bottom. ABSOLUTELY NO directional light (no brighter-top/darker-bottom), NO vignette, NO border or outline on any edge, NO single big feature in the centre. Keep the base colour perfectly flat and put all variation into small scattered speckles and marks that do not touch the edges. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_stairs_down","assets/tiles/stairs_down.png","64x64","32x32","얹는 타일","내려가는 계단","a stone staircase descending into darkness. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_stairs_up","assets/tiles/stairs_up.png","64x64","32x32","얹는 타일","올라가는 계단","a stone staircase climbing up toward light. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_forge_hearth","assets/tiles/forge_hearth.png","96x96","48x48","키 큰 타일","화덕","a blacksmith forge hearth glowing with coals. Tall object standing on the ground, seen from a 3/4 top-down angle, drawn so that the base sits at the very bottom edge of the canvas and the top is free. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No ground plate, no shadow disc under it. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_forge_anvil","assets/tiles/forge_anvil.png","90x90","45x45","키 큰 타일","모루","a blacksmith anvil on a wooden block. Tall object standing on the ground, seen from a 3/4 top-down angle, drawn so that the base sits at the very bottom edge of the canvas and the top is free. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No ground plate, no shadow disc under it. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"tile_waypoint_pad","assets/tiles/waypoint_pad.png","64x64","32x32","얹는 타일","웨이포인트","a circular stone teleport pad inlaid with glowing blue runes. Single object drawn small and centred, seen from a 3/4 top-down angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. The outer edge of the object must be ragged and irregular (not a filled square), because this is layered on top of a ground tile and the ground shows through around it. No ground, no grass, no base plate underneath. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"npc_waypoint","assets/sprites/npc/waypoint.png","192x256","60x80","마을 사람","웨이포인트","A standing waypoint stone, one of the townsfolk of a small medieval fantasy town. 3/4 top-down view, full body, standing still and facing the camera, feet at the very bottom edge of the canvas. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Friendly readable silhouette; the clothing colour is what players recognise them by, so keep one strong signature colour. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"npc_gate_merchant","assets/sprites/npc/gate_merchant.png","192x256","60x80","마을 사람","무기상","A merchant camped at the gate, one of the townsfolk of a small medieval fantasy town. 3/4 top-down view, full body, standing still and facing the camera, feet at the very bottom edge of the canvas. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Friendly readable silhouette; the clothing colour is what players recognise them by, so keep one strong signature colour. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"item_dragon_helm","assets/ui/items/dragon_helm.png","128x128","64x64","물건 아이콘","용린 투구","A dragon helm (armor, worn on the helmet) — fine craftsmanship, blue-steel sheen and a small inlaid stone. Single game inventory icon, one object only, floating centred with a small even margin on all four sides, seen from a slight 3/4 angle. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. No hand holding it, no pedestal, no text, no rarity frame, no glow border. It must still be recognisable shrunk to 1/4 size, so keep the silhouette simple and the local colour strong. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
